objective_id,standard,table_section,title,formulation_paraphrase,dal_applicability,semantic_class,checkability_zone,topological_template,template_params,decision_rule,prototype_instance,notes_disputed
DO-178C-A3-1,DO-178C,A-3,HLR comply with system requirements,Every high-level requirement must derive from or trace to an allocated system requirement,"A;B;C;D",traceability,machine,T1-mandatory-edge,"node=HLR; require outgoing DERIVES_FROM|TRACES_TO -> Requirement{system}",DR1,compliance/do178c.py::DO_178C_A3_1,
DO-178C-A3-2,DO-178C,A-3,HLR accurate and consistent,High-level requirements are accurate / unambiguous / sufficiently detailed and conflicts are resolved,"A;B;C",hybrid,screened,T6-proxy-screen,"node=HLR; necessary-condition proxy = no high-severity Smell; residual judgment on semantic accuracy",DR6,compliance/do178c.py::DO_178C_A3_2,"DISPUTED-resolved: smell screen is necessary-not-sufficient -> hybrid, not machine. Canonical proxy-screen example."
DO-178C-A3-3,DO-178C,A-3,HLR compatible with target computer,Performance/timing/memory HLR must be linked to target hardware characteristics,"A;B;C",coverage,machine,T1-mandatory-edge,"node=HLR filtered category in {Performance,Timing,Memory}; require outgoing CONSTRAINED_BY -> HardwareCharacteristic",DR2,compliance/do178c.py::DO_178C_A3_3,"BORDERLINE: existence of link is machine; whether the constraint value is actually compatible is human. Kept machine (trusted metadata) per DR-zone rule."
DO-178C-A4-1,DO-178C,A-4,LLR comply with HLR,Every low-level requirement is traceable to at least one parent high-level requirement,"A;B;C",traceability,machine,T1-mandatory-edge,"node=LLR; require outgoing DERIVES_FROM -> Requirement{HLR}",DR1,compliance/do178c.py::DO_178C_A4_1,
DO-178C-A4-6,DO-178C,A-4,Architecture consistent with HLR,Every HLR is realized by at least one implementing module (software or HDL),"A;B;C",coverage,machine,T1-mandatory-edge,"node=HLR; require incoming IMPLEMENTS from SoftwareModule|HDLModule",DR2,compliance/do178c.py::DO_178C_A4_6,
DO-178C-A7-1,DO-178C,A-7,Test procedures correct (every req tested),Every HLR and LLR has at least one verifying test case,"A;B;C",coverage,machine,T1-mandatory-edge,"node=Requirement filtered level in {HLR,LLR}; require incoming VERIFIES from TestCase",DR2,compliance/do178c.py::DO_178C_A7_1,"BORDERLINE: existence of a test is machine; correctness of the procedure content is human. Kept machine per DR-zone rule."
DO-178C-A7-3,DO-178C,A-7,Test coverage of HLR (MC/DC for DAL A),DAL-A HLR require a VERIFIES edge whose coverage_type is MC/DC,"A;B",coverage,machine,T1-mandatory-edge,"node=HLR filtered dal=A; require incoming VERIFIES where edge.coverage_type='MC/DC'",DR2,compliance/do178c.py::DO_178C_A7_3,"TRUST-BOUNDARY EXEMPLAR: graph checks the asserted MC/DC metadata, NOT the actual coverage measurement (done by a qualified coverage analyzer). Machine given trusted evidence."
DO-254-6.2.1,DO-254,6.2 (sec 6.2.1*),HWR verifiability - method assigned,Every hardware requirement has an assigned verification method,"A;B;C",coverage,machine,T1-mandatory-edge,"node=HWR filtered dal in {A,B,C}; require outgoing VERIFIED_BY_METHOD -> VerificationMethod",DR2,compliance/do254.py::DO_254_6_2_1,"*Section numbering is OUR RECONSTRUCTION - DO-254 has no Annex-A-style objective table. Verify against standard text."
DO-254-6.2.2,DO-254,6.2 (sec 6.2.2*),HWR traceable to system or derived w/ rationale,HWR either traces to a system requirement OR is derived with documented rationale,"A;B;C",traceability,machine,T2-disjunctive,"disjunctive obligation: (trace edge) OR (is_derived=true AND outgoing DERIVED_FROM_RATIONALE -> Rationale)",DR7,compliance/do254.py::DO_254_6_2_2,"*Reconstructed numbering. First disjunctive instance - composes T1 with a guard clause."
DO-254-6.3.1,DO-254,6.3 (sec 6.3.1*),Derived requirements documented w/ rationale,Derived hardware requirements must carry a documented rationale,"A;B",coverage,machine,T1-mandatory-edge,"node=HWR filtered is_derived=true; require outgoing DERIVED_FROM_RATIONALE -> Rationale",DR2,compliance/do254.py::DO_254_6_3_1,"*Reconstructed numbering. The further 'validated against safety analysis' clause is human -> the codified part is the rationale-existence subclaim only."
